threshold_name,nominal_value,perturbation_percent,perturbed_value,path_group,n_sessions,n_samples,weighted_output_change_fraction_vs_nominal,session_median_change_fraction,session_q1_change_fraction,session_q3_change_fraction
smooth_euler_delta_min,3,-30,2.1,ADB-like,27,40119,0,0,0,0
smooth_euler_delta_min,3,-30,2.1,browser-compatible,2,5441,0.000551,0.0005,0.00025,0.00075
smooth_euler_delta_min,3,-20,2.4,all,29,45560,0.000066,0,0,0
smooth_euler_delta_min,3,-20,2.4,ADB-like,27,40119,0,0,0,0
smooth_euler_delta_min,3,-20,2.4,browser-compatible,2,5441,0.000551,0.0005,0.00025,0.00075
smooth_euler_delta_min,3,-10,2.7,all,29,45560,0.000066,0,0,0
smooth_euler_delta_min,3,-10,2.7,ADB-like,27,40119,0,0,0,0
smooth_euler_delta_min,3,-10,2.7,browser-compatible,2,5441,0.000551,0.0005,0.00025,0.00075
smooth_euler_delta_min,3,10,3.3,all,29,45560,0.000066,0,0,0
smooth_euler_delta_min,3,10,3.3,ADB-like,27,40119,0,0,0,0
smooth_euler_delta_min,3,10,3.3,browser-compatible,2,5441,0.000551,0.0005,0.00025,0.00075
smooth_euler_delta_min,3,20,3.6,all,29,45560,0.00011,0,0,0
smooth_euler_delta_min,3,20,3.6,ADB-like,27,40119,0,0,0,0
smooth_euler_delta_min,3,20,3.6,browser-compatible,2,5441,0.000919,0.000833,0.000417,0.00125
smooth_euler_delta_min,3,30,3.9,all,29,45560,0.000132,0,0,0
smooth_euler_delta_min,3,30,3.9,ADB-like,27,40119,0,0,0,0
smooth_euler_delta_min,3,30,3.9,browser-compatible,2,5441,0.001103,0.001,0.0005,0.0015
rapid_gyro_min,1.5,-30,1.05,all,29,45560,0.025373,0.025641,0.012333,0.038917
rapid_gyro_min,1.5,-30,1.05,ADB-like,27,40119,0.026347,0.026359,0.014077,0.039393
rapid_gyro_min,1.5,-30,1.05,browser-compatible,2,5441,0.018195,0.018866,0.0156,0.022133
rapid_gyro_min,1.5,-20,1.2,all,29,45560,0.013521,0.014278,0.006386,0.019845
rapid_gyro_min,1.5,-20,1.2,ADB-like,27,40119,0.014133,0.016593,0.006638,0.020572
rapid_gyro_min,1.5,-20,1.2,browser-compatible,2,5441,0.009006,0.00935,0.007675,0.011025
rapid_gyro_min,1.5,-10,1.35,all,29,45560,0.005685,0.00576,0.002759,0.007853
rapid_gyro_min,1.5,-10,1.35,ADB-like,27,40119,0.005907,0.005784,0.002906,0.008157
rapid_gyro_min,1.5,-10,1.35,browser-compatible,2,5441,0.004043,0.004201,0.003434,0.004968
rapid_gyro_min,1.5,10,1.65,all,29,45560,0.004192,0.00347,0.001881,0.006791
rapid_gyro_min,1.5,10,1.65,ADB-like,27,40119,0.004537,0.003811,0.001975,0.007099
rapid_gyro_min,1.5,10,1.65,browser-compatible,2,5441,0.001654,0.001691,0.001512,0.00187
rapid_gyro_min,1.5,20,1.8,all,29,45560,0.007133,0.006637,0.004049,0.010185
rapid_gyro_min,1.5,20,1.8,ADB-like,27,40119,0.007652,0.006791,0.004376,0.010277
rapid_gyro_min,1.5,20,1.8,browser-compatible,2,5441,0.003308,0.00342,0.002877,0.003963
rapid_gyro_min,1.5,30,1.95,all,29,45560,0.009548,0.009923,0.005444,0.012963
rapid_gyro_min,1.5,30,1.95,ADB-like,27,40119,0.01022,0.010187,0.005893,0.01325
rapid_gyro_min,1.5,30,1.95,browser-compatible,2,5441,0.004595,0.004854,0.003594,0.006114
rapid_gyro_std_min,0.8,-30,0.56,all,29,45560,0.032485,0.026549,0.014698,0.049494
rapid_gyro_std_min,0.8,-30,0.56,ADB-like,27,40119,0.035519,0.026786,0.01747,0.051256
rapid_gyro_std_min,0.8,-30,0.56,browser-compatible,2,5441,0.010108,0.011228,0.005781,0.016675
rapid_gyro_std_min,0.8,-20,0.64,all,29,45560,0.018284,0.015038,0.005285,0.026817
rapid_gyro_std_min,0.8,-20,0.64,ADB-like,27,40119,0.020738,0.016933,0.007039,0.028784
rapid_gyro_std_min,0.8,-20,0.64,browser-compatible,2,5441,0.000184,0.000167,0.000083,0.00025
rapid_gyro_std_min,0.8,-10,0.72,all,29,45560,0.007112,0.005184,0.001075,0.010983
rapid_gyro_std_min,0.8,-10,0.72,ADB-like,27,40119,0.008076,0.005829,0.001108,0.011223
rapid_gyro_std_min,0.8,-10,0.72,browser-compatible,2,5441,0,0,0,0
rapid_gyro_std_min,0.8,10,0.88,all,29,45560,0.00428,0.00424,0.001113,0.007407
rapid_gyro_std_min,0.8,10,0.88,ADB-like,27,40119,0.004686,0.004464,0.001135,0.007548
rapid_gyro_std_min,0.8,10,0.88,browser-compatible,2,5441,0.001287,0.001167,0.000583,0.00175
rapid_gyro_std_min,0.8,20,0.96,all,29,45560,0.007002,0.006084,0.002304,0.012079
rapid_gyro_std_min,0.8,20,0.96,ADB-like,27,40119,0.007627,0.006359,0.002373,0.012629
rapid_gyro_std_min,0.8,20,0.96,browser-compatible,2,5441,0.002389,0.002167,0.001083,0.00325
rapid_gyro_std_min,0.8,30,1.04,all,29,45560,0.00946,0.007419,0.002304,0.017573
rapid_gyro_std_min,0.8,30,1.04,ADB-like,27,40119,0.010419,0.008467,0.002598,0.018821
rapid_gyro_std_min,0.8,30,1.04,browser-compatible,2,5441,0.002389,0.002167,0.001083,0.00325
moderate_gyro_min,0.3,-30,0.21,all,29,45560,0.062643,0.067586,0.053792,0.083627
moderate_gyro_min,0.3,-30,0.21,ADB-like,27,40119,0.067225,0.067723,0.055236,0.083833
moderate_gyro_min,0.3,-30,0.21,browser-compatible,2,5441,0.028855,0.032083,0.016375,0.047791
moderate_gyro_min,0.3,-20,0.24,all,29,45560,0.040057,0.044828,0.033545,0.048415
moderate_gyro_min,0.3,-20,0.24,ADB-like,27,40119,0.042723,0.044828,0.03485,0.050641
moderate_gyro_min,0.3,-20,0.24,browser-compatible,2,5441,0.020401,0.022698,0.011516,0.033881
moderate_gyro_min,0.3,-10,0.27,all,29,45560,0.018415,0.019661,0.016552,0.023768
moderate_gyro_min,0.3,-10,0.27,ADB-like,27,40119,0.019841,0.019841,0.016653,0.023921
moderate_gyro_min,0.3,-10,0.27,browser-compatible,2,5441,0.007903,0.00877,0.004552,0.012988
moderate_gyro_min,0.3,10,0.33,all,29,45560,0.016594,0.016393,0.013305,0.022259
moderate_gyro_min,0.3,10,0.33,ADB-like,27,40119,0.017722,0.016393,0.013531,0.022692
moderate_gyro_min,0.3,10,0.33,browser-compatible,2,5441,0.008271,0.009218,0.004609,0.013826
moderate_gyro_min,0.3,20,0.36,all,29,45560,0.030882,0.031677,0.027282,0.039267
moderate_gyro_min,0.3,20,0.36,ADB-like,27,40119,0.033102,0.031677,0.027377,0.0408
moderate_gyro_min,0.3,20,0.36,browser-compatible,2,5441,0.014519,0.016182,0.008091,0.024273
moderate_gyro_min,0.3,30,0.39,all,29,45560,0.044622,0.046592,0.040323,0.058986
moderate_gyro_min,0.3,30,0.39,ADB-like,27,40119,0.047783,0.046592,0.040404,0.058986
moderate_gyro_min,0.3,30,0.39,browser-compatible,2,5441,0.02132,0.023761,0.01188,0.035641
moderate_gyro_max,1.5,-30,1.05,all,29,45560,0.024561,0.025641,0.012189,0.038917
moderate_gyro_max,1.5,-30,1.05,ADB-like,27,40119,0.026347,0.026359,0.014077,0.039393
moderate_gyro_max,1.5,-30,1.05,browser-compatible,2,5441,0.011395,0.0127,0.00635,0.01905
moderate_gyro_max,1.5,-20,1.2,all,29,45560,0.013126,0.014278,0.006386,0.019845
moderate_gyro_max,1.5,-20,1.2,ADB-like,27,40119,0.014133,0.016593,0.006638,0.020572
moderate_gyro_max,1.5,-20,1.2,browser-compatible,2,5441,0.005697,0.00635,0.003175,0.009525
moderate_gyro_max,1.5,-10,1.35,all,29,45560,0.005509,0.00576,0.002759,0.007853
moderate_gyro_max,1.5,-10,1.35,ADB-like,27,40119,0.005907,0.005784,0.002906,0.008157
moderate_gyro_max,1.5,-10,1.35,browser-compatible,2,5441,0.002573,0.002868,0.001434,0.004302
moderate_gyro_max,1.5,10,1.65,all,29,45560,0,0,0,0
moderate_gyro_max,1.5,10,1.65,ADB-like,27,40119,0,0,0,0
moderate_gyro_max,1.5,10,1.65,browser-compatible,2,5441,0,0,0,0
moderate_gyro_max,1.5,20,1.8,all,29,45560,0,0,0,0
moderate_gyro_max,1.5,20,1.8,ADB-like,27,40119,0,0,0,0
moderate_gyro_max,1.5,20,1.8,browser-compatible,2,5441,0,0,0,0
moderate_gyro_max,1.5,30,1.95,all,29,45560,0,0,0,0
moderate_gyro_max,1.5,30,1.95,ADB-like,27,40119,0,0,0,0
moderate_gyro_max,1.5,30,1.95,browser-compatible,2,5441,0,0,0,0
acc_excursion_min,0.3,-30,0.21,all,29,45560,0.010294,0,0,0.016369
acc_excursion_min,0.3,-30,0.21,ADB-like,27,40119,0.009671,0,0,0.014905
acc_excursion_min,0.3,-30,0.21,browser-compatible,2,5441,0.014887,0.015599,0.012133,0.019065
acc_excursion_min,0.3,-20,0.24,all,29,45560,0.005904,0,0,0.012401
acc_excursion_min,0.3,-20,0.24,ADB-like,27,40119,0.005683,0,0,0.009964
acc_excursion_min,0.3,-20,0.24,browser-compatible,2,5441,0.007535,0.008131,0.005232,0.01103
acc_excursion_min,0.3,-10,0.27,all,29,45560,0.002327,0,0,0.003277
acc_excursion_min,0.3,-10,0.27,ADB-like,27,40119,0.002393,0,0,0.00308
acc_excursion_min,0.3,-10,0.27,browser-compatible,2,5441,0.001838,0.001972,0.001319,0.002625
acc_excursion_min,0.3,10,0.33,all,29,45560,0.002041,0,0,0.002151
acc_excursion_min,0.3,10,0.33,ADB-like,27,40119,0.001994,0,0,0.00214
acc_excursion_min,0.3,10,0.33,browser-compatible,2,5441,0.002389,0.002472,0.002069,0.002875
acc_excursion_min,0.3,20,0.36,all,29,45560,0.003731,0,0,0.005376
acc_excursion_min,0.3,20,0.36,ADB-like,27,40119,0.003539,0,0,0.005349
acc_excursion_min,0.3,20,0.36,browser-compatible,2,5441,0.005146,0.005392,0.004196,0.006588
acc_excursion_min,0.3,30,0.39,all,29,45560,0.005114,0,0,0.008929
acc_excursion_min,0.3,30,0.39,ADB-like,27,40119,0.004761,0,0,0.008765
acc_excursion_min,0.3,30,0.39,browser-compatible,2,5441,0.007719,0.008069,0.006368,0.00977
